scenario_id,domain,governance_model,stakeholders_count,trust_asymmetry_level,data_sensitivity,dispute_frequency_per_month,regulatory_pressure,incident_response_present,upgrade_policy_present,dispute_process_present,decision_rights_clarity,key_management_maturity,observability_level,data_governance_maturity,change_readiness,cost_baseline,cost_blockchain_est,time_baseline,time_blockchain_est,adoption_stage
S001,iot_device_integrity,permissionless_pos,11,3,2,2,4,1,1,1,2,4,3,4,5,66.0,84.0,43.0,47.0,idea
S002,iot_device_integrity,single_operator,5,3,3,5,2,1,1,1,2,4,5,3,4,124.0,132.0,63.0,59.0,pilot
S003,health_record_access,single_operator,13,3,2,2,3,1,1,1,2,5,5,3,4,101.0,88.0,64.0,47.0,idea
S004,interbank_settlement,single_operator,15,2,2,3,4,1,1,1,2,5,5,4,5,115.0,132.0,67.0,53.0,idea
S005,supply_chain_provenance,single_operator,13,3,4,3,2,1,1,1,1,3,3,5,2,95.0,109.0,115.0,96.0,pilot
S006,interbank_settlement,permissioned_raft,12,2,3,3,4,1,1,1,1,2,3,3,3,154.0,154.0,123.0,109.0,idea
S007,nonprofit_donations,consortium_bft,4,4,5,5,3,1,1,1,2,5,5,3,2,107.0,126.0,100.0,81.0,idea
S008,interbank_settlement,single_operator,7,5,2,3,1,1,1,1,1,5,5,3,3,98.0,121.0,67.0,63.0,idea
S009,iot_device_integrity,permissioned_raft,11,3,2,1,3,1,1,1,2,3,3,3,5,159.0,121.0,116.0,126.0,pilot
S010,academic_credentials,permissioned_raft,8,5,2,1,4,1,1,1,2,5,2,3,5,54.0,71.0,108.0,76.0,pilot
S011,interbank_settlement,permissioned_raft,7,1,3,2,3,1,1,1,1,3,5,2,4,134.0,114.0,58.0,59.0,idea
S012,nonprofit_donations,consortium_bft,4,3,4,2,4,1,1,1,2,2,2,5,4,73.0,70.0,134.0,137.0,idea
S013,academic_credentials,single_operator,10,4,4,3,4,1,1,1,2,5,5,4,5,135.0,130.0,108.0,91.0,pilot
S014,interbank_settlement,single_operator,9,3,4,2,2,1,1,1,2,5,5,3,4,110.0,130.0,102.0,94.0,idea
S015,nonprofit_donations,consortium_bft,8,2,5,4,4,1,1,1,2,3,4,3,5,89.0,74.0,59.0,62.0,idea
S016,supply_chain_provenance,single_operator,8,3,3,2,3,1,1,1,2,3,5,4,5,181.0,222.0,117.0,83.0,idea
S017,interbank_settlement,single_operator,5,3,5,3,3,1,1,1,2,4,4,5,5,195.0,160.0,102.0,67.0,production
S018,iot_device_integrity,permissioned_raft,4,4,4,3,4,1,1,1,2,4,4,4,4,74.0,93.0,132.0,121.0,idea
S019,supply_chain_provenance,single_operator,9,3,3,3,3,1,1,1,1,4,4,5,3,71.0,72.0,124.0,121.0,pilot
S020,interbank_settlement,consortium_bft,12,4,3,2,3,1,1,1,2,4,4,3,5,133.0,166.0,85.0,75.0,pilot
S021,nonprofit_donations,permissionless_pos,7,3,2,2,1,1,1,1,2,3,5,3,4,111.0,110.0,118.0,92.0,pilot
S022,iot_device_integrity,consortium_bft,6,3,3,5,1,1,1,1,2,4,3,3,4,88.0,75.0,117.0,90.0,idea
S023,academic_credentials,permissioned_raft,4,2,1,4,3,1,1,1,2,2,5,5,3,64.0,79.0,142.0,108.0,pilot
S024,supply_chain_provenance,single_operator,14,2,3,1,5,1,1,1,2,4,5,4,3,75.0,81.0,99.0,75.0,production
S025,health_record_access,consortium_bft,7,3,2,3,3,1,1,1,2,3,3,5,4,66.0,61.0,60.0,52.0,idea
S026,health_record_access,consortium_bft,10,3,3,1,2,1,1,1,2,4,4,4,4,142.0,153.0,114.0,93.0,pilot
S027,interbank_settlement,single_operator,7,3,4,0,3,1,1,1,2,5,2,5,4,40.0,50.0,55.0,51.0,pilot
S028,interbank_settlement,permissionless_pos,9,3,5,2,2,0,1,1,2,5,2,3,5,143.0,147.0,112.0,87.0,production
S029,interbank_settlement,permissionless_pos,3,4,3,2,2,1,1,1,2,3,2,4,5,40.0,40.0,116.0,99.0,pilot
S030,academic_credentials,single_operator,11,3,4,4,3,1,1,1,2,2,5,4,5,162.0,141.0,73.0,52.0,pilot
S031,nonprofit_donations,permissioned_raft,14,3,4,1,3,1,1,1,1,2,5,3,3,123.0,97.0,127.0,132.0,idea
S032,iot_device_integrity,permissionless_pos,19,5,3,3,3,1,1,1,2,5,3,3,3,145.0,165.0,115.0,106.0,pilot
S033,interbank_settlement,consortium_bft,15,3,2,4,3,1,1,1,2,5,5,3,5,140.0,167.0,85.0,61.0,pilot
S034,interbank_settlement,permissioned_raft,13,1,4,1,4,1,1,1,2,4,3,5,2,169.0,147.0,133.0,138.0,pilot
S035,interbank_settlement,single_operator,6,2,2,0,1,1,1,1,2,5,5,3,2,53.0,44.0,155.0,128.0,pilot
S036,interbank_settlement,consortium_bft,7,4,3,3,3,1,1,1,1,4,5,5,4,112.0,127.0,108.0,71.0,production
S037,supply_chain_provenance,permissionless_pos,10,2,5,1,2,1,1,1,1,5,4,3,5,83.0,108.0,89.0,92.0,idea
S038,academic_credentials,permissioned_raft,11,5,3,6,3,1,1,1,1,4,5,5,5,137.0,173.0,112.0,80.0,idea
S039,health_record_access,consortium_bft,11,2,5,2,3,1,1,1,1,5,3,4,5,223.0,246.0,86.0,82.0,idea
S040,academic_credentials,permissioned_raft,8,3,2,5,3,1,1,1,2,5,2,5,3,73.0,67.0,143.0,92.0,production
